ml_riddle	originalriddle	originalriddleanswer
ml_1	ഞെട്ടില്ല വട്ടേല?	പപ്പടം
ml_2	മുള്ളുണ്ട് മുരിക്കല്ല, കൊമ്പുണ്ട് കുത്തില്ല, പാലുണ്ട് പശുവല്ല?	ചക്ക
ml_3	ചെടി ചെടിയിന്മേൽകായ് കയ്യിന്മേൽ ചെടി?	കൈതച്ചക്ക
ml_4	നല്ല നായ്ക്ക് നാവിന്മേൽ പല്ല്?	ചിരവ
ml_5	കുത്തുന്ന കാളക്ക് പിന്നിൽ കണ്ണ്?	സൂചി
ml_6	കരടിയിലുണ്ട് കുതിരയിലില്ല, ഉഴുന്നിലുണ്ട് ഉലുവയിലില്ല, ജനതയിലുണ്ട് ജനങ്ങളിലില്ല. മൂന്നക്ഷരമുള്ള ഞാനാര്?	കഴുത
ml_7	കാലുപിടിക്കുന്നവനെ സംരക്ഷിക്കുന്നവൻ?	കുട
ml_8	അകത്തുരോമം പുറത്തിറച്ചി?	മൂക്ക്
ml_9	കണ്ടാലൊരു വണ്ടി, തൊട്ടാലൊരു ചക്രം?	തേരട്ട
ml_10	ഒരമ്മ പെറ്റതെല്ലാം കറുത്ത പട്ടാളം?	കട്ടുറുമ്പ്
ml_11	ഉണ്ടാക്കുന്നവൻ ഉപയോഗിക്കുന്നില്ല, ഉപയോഗിക്കുന്നവൻ അറിയുന്നില്ല?	ശവപ്പെട്ടി
ml_12	അമ്മയെകുത്തി മകൻ മരിച്ചു?	തീപെട്ടി
ml_13	ആയിരം പറ അവളിൽ ഒരു നുള്ള് കൊട്ടത്തേങ്ങ?	ചന്ദ്രക്കല
ml_14	അടി മുള്ള്, നടു കാട്, തല പൂവ്?	പൈനാപ്പിൾ
ml_15	മുറ്റത്തെ ചെപ്പിനു അടപ്പില്ല?	കിണർ
ml_16	ആയിരം പോലീസുകാർക്ക് ഒരു ബെൽറ്റ്?	ചൂല്
ml_17	ഇട്ടാൽ പൊട്ടും ഇംഗ്ലീഷ് മുട്ട?	കടുക്
ml_18	ആനയിലുണ്ട് ചേനയിലില്ല, ഇമയിലുണ്ട് ഇഷ്ട്ടത്തിലില്ല. രണ്ട് അക്ഷരമുള്ള ഞാനാര്?	ആമ
ml_19	ഓടും കുതിര, ചാടും കുതിര, വെള്ളം കണ്ടാൽ നില്കും കുതിര?	ചെരുപ്പ്
ml_20	ഒരു അമ്മ പെറ്റതെല്ലാം തൊപ്പികുട്ടന്മാർ?	പാക്ക്/അടക്ക
ml_21	അടി പാറ, നാട് വടി, മീതെ കുട?	ചേന
ml_22	അങ്ങോട്ടോടും, ഇങ്ങോട്ടോടും. നേരെനിന്ന് സത്യം പറയും?	ത്രാസ്സ്
ml_23	മുള്ളുണ്ട് മുരിക്കല്ല, കൈപ്പുണ്ട് കാഞ്ഞിരമല്ല?	പാവക്ക
ml_24	ആയിരം പോലീസുകാർക്ക് ഒരു ബെൽറ്റ്	ചൂല്
ml_25	ആയിരം കിളികൾക്ക് ഒറ്റക്കൊക്ക്?	വാഴക്കുല
ml_26	എന്നെ തൊട്ടുകൂട്ടും, പക്ഷെ സദ്യക്ക് എടുക്കില്ല?	കാൽക്കുലേറ്റർ
ml_27	ഒരു കുപ്പിയിൽ രണ്ടെണ്ണ?	മുട്ട
ml_28	കിക്കിലുക്കം, കിലുകിലുക്കം ഉത്തരത്തിൽ ചത്തിരിക്കും?	താക്കോൽകൂട്ടം
ml_29	കാടുണ്ട് കടുവയില്ല, വീടുണ്ട് വീട്ടാറില്ല, കുളമുണ്ട് മീനില്ല?	തേങ്ങ
ml_30	പൊന്നുതിന്ന് വെള്ളിതുപ്പി?	ചക്കച്ചുള
ml_31	മലയിലെ അമ്മക്ക് നെറുകയിൽപൂവ്?	കൈതച്ചക്ക
ml_32	മരങ്ങൾക്കും ബാങ്കുകൾക്കും പൊതുവായുള്ളത് എന്താണ് ?	ശാഖ
ml_33	ആരും ഇഷ്ടപ്പെടാത്ത പണം ഏതാണ് ?	ആരോപണം
ml_34	ആൺകുട്ടികളും പെൺകുട്ടികളും ഒരുപോലെ ഉപയോഗിക്കുന്ന മാല ?	അക്ഷരമാല
ml_35	ആരും പോകാൻ ആഗ്രഹിക്കാത്ത അറ ?	കല്ലറ
ml_36	എല്ലാവർക്കും വിളമ്പി നൽകുകയും സ്വയം ഒന്നും കഴിക്കാതിരിക്കുകയും ചെയ്യുന്നത് ആരാണ് ?	തവി
ml_37	തലകുത്തി നിന്നാൽ വലുതാകുന്നത് ആര് ?	6
ml_38	വെച്ചടി വെച്ചടി കയറ്റം കിട്ടുന്ന ജോലി ?	തെങ്ങുകയറ്റം
ml_39	കുടിക്കാൻ പറ്റുന്ന ഇഗ്ലീഷ് അക്ഷരം ?	T
ml_40	എല്ലാവരും ഇഷ്ടപ്പെടുന്ന വാർഡ് ഏത്..?	അവാർഡ്
ml_41	കുറ്റവാളികൾ ഭയപ്പെടുന്ന മരം ഏതാണ്.?	കഴുമരം
ml_42	വണ്ടി ഓടാത്ത റൂട്ട് ഏത്?	ബീറ്റ്‌റൂട്ട്
ml_43	ആരും ഇഷ്ടപ്പെടാത്ത ദേശം ഏതാണ് ?	ഉപദേശം
ml_44	നിങ്ങളുടെ മുന്നിലുണ്ട് എന്നാൽ നിങ്ങൾക്ക് കാണാൻ കഴിയില്ല. എന്താണത് ?	നിങ്ങളുടെ ഭാവി
ml_45	എന്നും ഉപ്പിലിടുന്ന വസ്തു ഏതാണ് ?	സ്പൂൺ
ml_46	പോലീസുകാർ ഒറ്റക്കാലിൽ നിൽക്കുന്നത് എപ്പോൾ ?	പാന്റ് ഇടുമ്പോൾ
ml_47	എപ്പോഴും വിശപ്പുള്ള രാജ്യം ഏത്..?	ഹംഗറി
ml_48	ആളുകൾ എപ്പോഴും തെന്നിവീഴുന്ന രാജ്യം ഏത്..?	ഗ്രീസ്
ml_49	എപ്പോഴും മഴയുള്ള രാജ്യം ഏത്..?	ബഹ്റൈൻ
ml_50	ന്യൂസുകൾ കൂടുതൽ ഉള്ള രാജ്യം ഏത്..?	ന്യൂസിലാന്റ്
ml_51	ഏറ്റവും കൂടുതൽ തിരക്കുള്ള രാജ്യം ഏത്..?	അർജന്റീന
ml_52	ഒരു മീനിനെ പിടിച്ചു കരയ്ക്ക് ഇട്ടാൽ എന്തുപറ്റും ?	മണ്ണ് പറ്റും
ml_53	വധൂവരന്മാർ ആദ്യമായി കഴിക്കുന്നത് എന്താണ് ?	വിവാഹം
ml_54	പിറകിൽ നിന്ന് ആരെങ്കിലും വിളിച്ചാൽ തിരിഞ്ഞു നോക്കുന്നത് എന്തുകൊണ്ട് ?	പിറകിൽ കണ്ണില്ലാത്തതുകൊണ്ട്
ml_55	നിങ്ങളുടെ സ്വന്തം ആണെങ്കിലും ഇത് കൂടുതലും ഉപയോഗിക്കുന്നത് മറ്റുള്ളവരാണ്. എന്ത് ?	നിങ്ങളുടെ പേര്
ml_56	ഇടുമ്പോൾ ടൈറ്റ് ആയിരിക്കും ഇട്ടു കഴിഞ്ഞാൽ ലൂസ് ആയിരിക്കും ?	വള
ml_57	ആകാശത്തൊരു കൂട്ടിനുള്ളില്‍	മുപ്പത്തിരണ്ടു വെള്ളാന പല്ല്
ml_58	വീട്ടിലെ കോവിലിൽ മൂന്നുണ്ട് ദൈവങ്ങൾ.	അടുപ്പ്
ml_59	വെട്ടും തോറും വളരും ഞാൻ.	തലമുടി
ml_60	വെള്ളച്ചാരെ മാറ്റിയിരുത്തി, ചോപ്പന്മാരെ കേറ്റിയിരുത്തി.	ചാരം വാരി തീകൂട്ടി
ml_61	വെള്ളമതിലിനുള്ളിൽ ഒരു വെള്ളിവടി.	വാഴപ്പിണ്ടി
ml_62	വെള്ളിക്കിണ്ണത്തിൽ ഞാവൽപ്പഴം.	കണ്ണ്
ml_63	വാലില്ലാത്തമ്മയ്ക്ക് വാലുള്ള മക്കൾ.	തവള
ml_64	വില്ലാണ് പക്ഷേ ഞാണില്ല കെട്ടാൻ.	മഴവില്ല്
ml_65	വട്ടത്തിൽ ചവിട്ടിയിൽ നീളത്തിലോടും.	സൈക്കിൾ
ml_66	വരുമ്പോൾ കറുത്തിട്ട്, പോകുമ്പോൾ വെളുത്തിട്ട്.	തലമുടി
ml_67	മുള്ളിനുള്ളിലെ സുന്ദരിക്കുട്ടി.	റോസാപുഷ്പം
ml_68	മുള്ളില്ലാത്ത പുറംകാട്ടിൽ എല്ലില്ലാത്ത ഒരെലിക്കുഞ്ഞ്.	പേൻ
ml_69	പുക തുപ്പുന്ന പാമ്പ്.	തീവണ്ടി
ml_70	പൂട്ടാനെളുപ്പം തുറക്കാനാവില്ല.	തൊട്ടാവാടി
ml_71	പലകക്കീഴെ പച്ചയിറച്ചി.	നഖം
ml_72	തുമ്പിക്കൈയില്ലാത്ത ആന.	കുഴിയാന
ml_73	തെക്ക് നിന്ന് വന്ന കാളയ്ക്ക് പള്ളയ്ക്കൊരു കൊമ്പ്.	കിണ്ടി
ml_74	തേങ്ങാപ്പൂളൊരു തേങ്ങാമുറിയായ്.	ചന്ദ്രൻ
ml_75	തൊട്ടാൽ ചൊറിയൻ തിന്നാൻ രസികൻ.	ചേന
ml_76	തോളിൽ തൂങ്ങുന്ന തല്ലുകൊള്ളി.	ചെണ്ട
ml_77	ചത്ത പോത്ത് കോലെടുത്താലോടും.	തോണി
ml_78	കിഴക്കൂന്ന് വരവ്, പടിഞ്ഞാട്ട് പോക്ക്.	സൂര്യൻ
ml_79	കുളിക്കാൻ പോകുമ്പോൾ കുഴഞ്ഞുമറിഞ്ഞ്, കുളിച്ചു വരുമ്പോൾ ബലാബലൻ.	പപ്പടം
ml_80	ഒരമ്മ എന്നും വെന്തും നീറിയും	അടുപ്പു്
ml_81	ഒരു തൊഴുത്തിൽ രണ്ടുവരി വെള്ളക്കുതിര.	പല്ലുകൾ
ml_82	എന്നെ തൊട്ടാൽ തൊടുന്നവനെ തട്ടും.	വൈദ്യുതി
ml_83	ആരോടും മല്ലടിക്കും, വെള്ളത്തോട് മാത്രമില്ല.	അഗ്നി
ml_84	ആരാലും അടിക്കാത്ത മുറ്റം.	ആകാശം
ml_85	ആരും കാണാതെ വരും, ആരും കാണാതെ പോകും.	കാറ്റ്
ml_86	അകത്ത് പോയപ്പോൾ പച്ച, പുറത്ത് വന്നപ്പോൾ ചുവപ്പ്.	വെറ്റില മുറുക്ക്
ml_87	അടയ്ക്കും തുറക്കും കിങ്ങിണി പത്തായം.	കണ്ണ്
ml_88	വായില്ല നാക്കുണ്ട്, നാക്കിന്മേൽ പല്ലുണ്ട്.	ചിരവ
