ml_riddle	originalriddle	originalriddleanswer
ml_1	ऐसा कौन सा शब्द है, जिसे लिखते तो है, पर पढ़ते नही है ?,	नही
ml_2	अगर स्कूटी स्पीड से चला रही महिला के सामने पति और भाई खड़े है, तो सबसे पहले वो किसे मारेगी?,	ब्रेक
ml_3	कौन सी चीज है जो अगर चलते चलते थक जाए तो उसकी गर्दन काटने पर वह दोबारा चलने लग जाती है ?,	 पेंसिल
ml_4	वह क्या चीज है जिसे आदमी छुपा कर और औरत दिखा कर चलती है ?,	पर्स
ml_5	खुद कभी वह कुछ न खाए,\nलेकिन सब को खूब खिलाए |,	चम्मच
ml_6	वह क्या है, जो है तो सोने की, मगर सोने से बहुत सस्ती है?,	चारपाई
ml_7	वह कौन है, जो जितना भी बूढ़ा हो जाए, मगर फिर भी वह जवान हीं रहता है?,	सैनिक
ml_8	उसे दिन भर उठाते व रखते हैं। बिना उसके कहीं जा नहीं सकते हैं।,	पैर
ml_9	शुरुआत में वो हरा रहता है, बाद में वो पिला हो जाए, बच्चे हो या बूढ़े सभी उसे मजे से खाएं।,	आम
ml_10	काला मुंह लाल शरीर, कागज को वह खाता, रोज शाम को पेट फाड़कर कोई उन्हें ले जाता।,	लेटर बॉक्स
ml_11	रात में है, दिन में नहीं, दीया के नीचे, ऊपर नहीं, बूझो मेरा नाम सही ?,	अँधेरा
ml_12	आगे ‘प’ है मध्य में भी ‘प’, अंत में इसके ‘ह’ है, कटी पतंग नहीं यह भैया, न बिल्ली चूहा है, वन में पेड़ों पर रहता है; सुर में रहकर कुछ कहता है| बताओ क्या ?,	पपीहा
ml_13	डिब्बा देखा एक निराला, ना ढकना न ताला, न पेंदा नाही कोना, बंद है उसमें चांदी सोना।,	अंडा
ml_14	ऐसा शब्द बताइए कि, जिससे फूल, मिठाई और फल बन जाए ?,	गुलाब जामुन।
ml_15	वह कौन – सा फूल है, जिसके पास कोई रंग और महक नहीं है ?,	अप्रैल फूल।
ml_16	ऐसा रूम, जिसकी खिड़की ना दरवाजा तो बताओ क्या ?,	मशरूम।
ml_17	ऐसी कौन – सी जगह है, जहाँ पर सड़क है पर गाड़ी नहीं, जंगल है पर पेड़ नहीं और शहर है पर घर नहीं ?,	नक्शा।
ml_18	कमर बांधे घर में रहता, सुबह-शाम जरूरत है पड़ती। बताओ क्या?,	झाड़ू।
ml_19	हरी झंडी लाल कमान, तोबा तोबा करे इंसान।,	मिर्ची।
ml_20	नाक पर चढ़कर कान पकड़कर, लोगों को है पढ़ाती।,	चश्मा।
ml_21	हरे हरे से है दिखे पक्के हो या कच्चे, भीतर से यह लाल मलाई जैसे ठंडे मीठे लच्छे।,	तरबूज।
ml_22	सफेद तन हरी पूंछ, न बुझे तो नानी से पूछ ॥,	मूली।
ml_23	कान हैं पर बहरी हूँ, मुँह है पर मौन हूँ । आँखें हैं पर अंधी हूँ, बताओ मैं कौन हूँ ?,	गुड़िया।
ml_24	काला घोडा सफ़ेद की सवारी, एक उतरा तो दूसरे की बरी ॥,	तवा और रोटी।
ml_25	बूझो भैया एक पहेली, जब काटो तो नई नवेली ।,	पेंसिल
ml_26	हरी है उसकी काया, लाल मकान में, काला शैतान समाया।,	तरबूज़।
ml_27	चौकी पर बैठी एक रानी, सिर पर आग बदन में पानी।,	मोमबत्ती।
ml_28	जल से भरा एक मटका, जो है सबसे ऊँचा लटका। पी लो पानी है मीठा, ज़रा नहीं है खट्टा।,	नारियल।
ml_29	लाल हूँ, खाती हूँ मैं सूखी घास। पानी पीकर मर जाऊँ, जल जाए जो आए मेरे पास।,	आग।
