ml_riddle	originalriddle	originalriddleanswer
ml_1	એક જનાવર ઈતું પૂંછડે પાણી પીતું	દીવો
ml_2	નાની નાની ઓરડી માં બત્રીસ બાવા	દાંત
ml_3	એક લાકડીની સાંભળો કહાણી, તેમાં ભરેલું છે મીઠું પાણી	શેરડી
ml_4	વીસ વીસનાં ઉતારી લીધા શીશ, ના વહ્યું લોહી, ના ચઢી રીસ.	નખ
ml_5	ના જીવ, ના ખાય, ના પીએ, રહે ‘મૂળ’ ત્યાં લગી જીવે, અંધારાથી એ બહુ ડરે, જોતાં જ છુપે નિજ ઘરે.	પડછાયો
ml_6	ઘર એક, રહેનારા બે, સવારે-સાંજે ઝઘડે એ, રહે ના ખાલી ઘર કદી. તો કહો એનું નામ જલદી.	પ્રકાશ
ml_7	અંધકારઊંચું છે એક પ્રાણી, એની પીઠ છે ત્રિકોણી, છે રણનું જહાજ-ગાડી, એને જોઈએ થોડુંક પાણી.	ઊંટ
ml_8	આમ જાઉં તેમ જાઉં જ્યાં જાઉં ત્યાં પાછળ સંતાવું	પડછાયો
ml_9	ધોળા ખેતરમાં કાળા દાણા	અક્ષરો
ml_10	ચારે બાજુ ભીંત અને વચ્ચે પાણી	નાળિયેર
ml_11	માં ધોળી અને બચ્ચાં કાળા	ઈલાયચી
ml_12	રાજા કરે રાજ ન દરજી સીવે કોટ	રાજકોટ
ml_13	રાજા જામે વસાવ્યું નગર	જામનગર
ml_14	એવી કઈ વસ્તુ છે જેને પાંખ નથી તો પણ ઉડે છે?	પતંગ
ml_15	એવી કઈ શાકભાજી છે જેમાં તાળું અને ચાવી બંને આવે છે?	લોકી (દૂધી)
ml_16	એવું તો કોણ છે જે તમારા નાક પર બેસીને તમારા કાન ને પકડે છે?	ચશ્માં
ml_17	લીલું ઝાડ, પીળું મકાન તેમાં બેઠા કલ્લુરામ	પપૈયું
ml_18	રાતા રાતા રાતનજી, પેટમાં રાખે પણાં, વળી ગામે ગામે થાય, એને ખાય રંક ને રાણા!!	બોર
ml_19	વાણી નહીં પણ બોલી શકે, પગ નથી પણ ચાલી શકે, વાગે છે પણ કાંટા નહીં, એના ઈશારે દુનિયા ચાલે!	ઘડિયાળ
ml_20	ઘરમાં મહેમાનોને દેવાય, વોટમાં નેતાઓને દેવાય, આરામ કરવામાં વપરાય!	ખુરશી
ml_21	પીળા પીળા પદ્મસી ને પેટમાં રાખે રસ થોડા ટીપાં વધુ પડે તો દાંતનો કાઢે કસ!	લીંબુ
ml_22	એવું શું છે જે પાણીમાં પડે તો પણ ભીનું ના થાય?	પડછાયો
ml_23	એવી કઈ વસ્તુ જે ખાવા માટે ખરિદિયે પણ તેને ખાતા નથી?	પ્લેટ
ml_24	એવું શું છે જે વગર પગે ભાગે છે અને ક્યારેય પાછો નથી આવતો?	સમય
ml_25	એવી કઈ વસ્તુ છે જે તમે કઈ બોલો તો તૂટી જાય?	મૌન
ml_26	લીલી માછલીના ઈંડા લીલા પણ, માછલી કરતાં ઈંડાનું મૂલ્ય વધારે.	વટાણા
ml_27	એ તો ભાઈ તો છે ભારે બીકણ, કાતરી ખાતા પાન ઉંદરભાઈના મામા એ તો, એને છે લાંબા કાન.	સસલું
