ml_riddle	originalriddle	originalriddleanswer
ml_1	మొగ్గ కాని మొగ్గ, ఏమి మొగ్గ?	లవంగ మొగ్గ
ml_2	ఒకరు పొడుస్తారు, ఒకరు విడుస్తారు?	పొడుపు కథ
ml_3	కడుపు లోన పిల్లలు, కంఠము లోన నిప్పులు! అరుపేమో ఉరుము, ఎరుపంటే భయము!!?	రైలు
ml_4	సన్నని స్తంభం, ఎక్కలేరు, దిగలేరు?	సూది
ml_5	కిరీటము ఉంటుంది కాని రాజును కాదు, నాట్యము చేస్తాను కాని మయూరిని కాదు?	నాగుపాము
ml_6	తోలు న‌లుపు, తింటే పులుపు, ఏంటో అది?	చింత‌పండు
ml_7	కాటుక రంగు, కమలము హంగు! విప్పిన పొంగు, ముడిచిన క్రుంగు!!?	గొడుగు
ml_8	కాయలు కాని కాయలు, ఏమి కాయలు?	మొట్టి కాయలు
ml_9	కార్డు కాని కార్డు, ఏమి కార్డు?	రికార్డు
ml_10	చింపిరి గుడ్డలు! బంగారం లాంటి బిడ్డలు!!	మొక్క జొన్న
ml_11	పొంగ బోడ‌ది రాంగ జుట్టుది ఏంట‌ది?	పేలాలు
ml_12	ఎముకలు లేని జీవము, ఏటికి పోయింది?	జలగ
ml_13	అందరికి చెప్పి వొచ్చేది, చెప్పకుండా వెళ్ళేది?	ప్రాణం
ml_14	స‌న్న‌టి స్థంభం, ఎవ్వ‌రూ ఎక్క‌లేరు, దిగ‌లేరు ఏంట‌ది?	సూది
ml_15	రాజాధి రాజులు కూడా ఒకరిముందు తల వంచుకుంటారు?	మంగలి
ml_16	ఇళ్ళు లేని పట్నాలు, నీళ్లు లేని సముద్రాలు ఎక్కడ ఉంటాయి?	మ్యాపులో
ml_17	ఒకటి పట్టుకుంటే రెండు ఊగుతాయి?	తక్కెడ
ml_18	కాయ, పువ్వు లేని పంట?	ఉప్పు పంట
ml_19	అందరూ నన్ను పట్టుకుంటారు కాని నేనే ఎవరిని పట్టుకొను, అందరూ నాతో మాట్లాడతారు కాని నేనే ఎవరితో మాట్లాడను?	టెలిఫోన్
ml_20	ఇవ్వకుండా తీసుకో లేనిది! తీసుకోకుండా ఇవ్వ లేనిది!!?	ముద్దు
ml_21	మేకల్ని తోలేసి తడకలకి పాలు పిండుతారు?	తేనె పట్టు
ml_22	ఇల్లంతా తిరిగి మూలకు కూర్చుంటుంది?	చీపురు
ml_23	కలి కాని కలి, ఏమి కలి?	చాకలి
ml_24	చీకటి ఇంటిలో జడల దయ్యము?	ఉట్టి
ml_25	మూత తెరిస్తే, ముత్యాల పేరు?	దంతాలు
ml_26	జాన కాని జాన, ఏమి జాన?	ఖజాన
ml_27	ఎనమిది ఎముకలు! తట్టెడు ప్రేగులు!!?	మంచము
ml_28	ఈగ ముసరని పండు! ఇంటిలో నుండు!!?	నిప్పు
ml_29	వీధిరాజుకు కొప్పుది కానీ జుట్టు లేదు, క‌ళ్ళున్నాయి కానీ చూపులేదు ఏంట‌ది?	కొబ్బ‌రికాయ‌
ml_30	ఏది పెడితే అరిగి పోతుంది?, ఏది పెడితే కలకాలం ఉంటుంది?	అన్నము, వాత
ml_31	కడుపు నిండా రాగాలు, వంటి నిండా గాయాలు?	మురళి
ml_32	గీత కాని గీత, ఏమి గీత?	భగవద్గీత
ml_33	ఈ ప్ర‌పంచ‌లోని వారంద‌రూ నా బిడ్డ‌లే కాని అమ్మా! అని న‌న్నెవ‌రు పిల‌వ‌రు ఏం చేయాల‌న్నా ఏమి పొందాల‌న్నా నాలోనే ఎటూ పోవాల‌న్నా ఎక్క‌డికి వెళ్లాల‌న్నా నా మీదే..నేనెవ‌ర్ని?	భూమి
ml_34	అది లేకపోతే ఎవ్వరూ ఏమీ తినరు?	ఆకలి
ml_35	ఇద్దరు అక్క చెల్లెల్లు, ప్రపంచం మొత్తం తిరిగి చూసినా, ఒకరినొకరు చూసుకోరు?	కళ్ళు
