ml_riddle	originalriddle	originalriddleanswer
ml_1	ಕರಿ ಗುಡ್ಡಬಿಳಿ ನೀರು ಅದ್ರಾಗೆ ಕುಂತವಳೇ ಚಂಪರಾಣಿ	ಗಡಿಗೆ ಮಜ್ಜಿಗೆ
ml_2	ಬೆಳ್ಳಿ ಸಮುದ್ರದಲ್ಲಿ ಕಪ್ಪು ಸೂರ್ಯ	ಕಣ್ಣು
ml_3	ಕಾಲಿಲ್ಲ ಹುಡುಗಿಗೆ ಮಾರುದ್ದ ಕಡಿವಾಣ	ಸೂಜಿ
ml_4	ಹಾರಾಡುತ್ತಿದೆ ಗಾಳಿಪತವಲ್ಲ, ಬಣ್ಣ ಮೂರಿರುವುದು ಕಾಮನಬಿಲ್ಲಲ್ಲ	ಧ್ವಜ
ml_5	ಒಂದು ಮಡಕೆ, ಮಡಕೆಯೊಳಗೆ, ಕುಡಿಕೆ, ಕುಡಿಕೆಯಲ್ಲಿ ಸಾಗರ	ತೆಂಗಿನ ಕಾಯಿ
ml_6	ನೀಲಿ ಸಾಗರದಲ್ಲಿ ಬೆಳ್ಳನೇ ಮೀನುಗಳು ನಾನ್ಯಾರು	ತಾರೆಗಳು
ml_7	ನೀನಿಲ್ಲದೆ ಊಟವಿಲ್ಲ	ಉಪ್ಪು
ml_8	ಅಕ್ಕ ಓದುತ್ತಾಳೆ ತಂಗಿ ನಡೀತ್ತಾಳೆ	ಕಣ್ಣು
ml_9	ಮೂರು ಕಾಸಿನ ಕುದುರೆಗೆ ಮುನ್ನೂರು ರೂಪಾಯಿನ ಹಗ್ಗ	ಹೇನು ಕೂದಲು
ml_10	ಒಂದು ಹಸ್ತಕ್ಕೆ ನೂರೆಂಟು ಬೆರಳು	ಬಾಳೆಗೊನೆ
ml_11	ಗುಡುಗು, ಗುಡುಗಿದರೆ ಸಾವಿರ ನಯನಗಳು ಅರಳುವುದು.	ನವಿಲು.
ml_12	ಆಕಾಶದಲ್ಲಿ ಕೊಡಲಿಗಳು ತೇಲಾಡುತ್ತವೆ	ಹುಣಸೇಹಣ್ಣು
ml_13	ಅಮ್ಮನ ಆಕಾಶವಾಣಿ ನಾನು	ಮಗು
ml_14	ಕೂಗಿದರೆ ರಾವಣ, ಹಾರಿದರೆ ಹನುಮಂತ, ಕೂತರೆ ಮುಸಿ	ಕಪ್ಪೆ
ml_15	ಹಗ್ಗ ಹಾಸಿದೆ, ಹಸು ಮಲಗಿದೆ	ಕುಂಬಳಕಾಯಿ
ml_16	ಸಾವಿರ ತರುತ್ತೆ ಲಕ್ಷ ತರುತ್ತೆ ನೀರಿನಲ್ಲಿ ಹಾಕಿದರೆ ಸಾಯುತ್ತೆ.	ದುಡ್ಡು.
ml_17	ಬಾ ಅಂದರೆ ಬರೋಲ್ಲ, ಹೋಗು ಅಂದರೆ ಹೋಗೋಲ್ಲ	ಮಳೆ
ml_18	ಕೆಂಪು ಕುದುರೆಗೆ ಲಗಾಮು, ಓಬ್ಬ ಹತ್ತುತ್ತಾನೆ, ಇನ್ನೊಬ್ಬ ಇಳಿತಾನೇ	ಬೆಂಕಿ,ಬಾಣಲೆ, ದೋಸೆ
ml_19	ಹೊಂಚು ಹಾಕಿದ ದೆವ್ವ, ಬೇಡ ಬೇಡ ಎಂದರೂ ಜೂತೆಯೇ ಬರುತ್ತೆ.	ನೆರಳು
ml_20	ಕೆಂದ ಕುದುರೆ,ಬಿಳಿ ತಡಿ, ಕರೆ ಲಗಾಮು, ಅಣ್ಣ ಅತ್ತಾನೆ, ತಮ್ಮ ಇಳಿತ್ತಾನೆ	ಬೆಂಕಿ, ಸುಣ್ಣ ಹಚ್ಚಿದ ಹಂಚು, ಹೊಗೆ, ರೊಟ್ಟಿ
ml_21	ಕೆಂಪು ಕುದುರೆ ಮೇಲೆ ಒಬ್ಬ ಏರುತ್ತಾನೆ, ಒಬ್ಬ ಇಳಿಯುತ್ತಾನೆ	ರೊಟ್ಟಿ, ದೋಸೆ
ml_22	ಕೋಳಿ ಕುಗುತ್ತದೆ, ಮುಲ್ಲ ಚೂರಿ ಹಾಕುತ್ತಾನೆ.	ಗಿರಣಿ
ml_23	ಒಂದು ಮನೆಗೆ ಒಂದೇ ತೊಲೆ	ತಲೆ
ml_24	ಹೋಗುತ್ತಾ, ಬರುತ್ತಾ ಇರುವುದು ಎರಡು,ಹೋದ ಮೇಲೆ ಬರಲಾರವು ಎರಡು	ಸಿರಿತನ-ಬಡತನ, ಪ್ರಾಣ -ಬಡತನ
ml_25	ಕಡ್ಲೆ ಕಾಳಷ್ಟು ಹಿಂಡಿ 32 ಮನೆ ಸಾರಿಸಿ ಬಚ್ಚಲ ಪಾಲು ಆಗುತ್ತೆ	ಹಲ್ಲುಪುಡಿ
ml_26	ಗಿರಗಿರ ತಿರುಗುತ್ತೆ, ಸುಸ್ತಾಗಿ ಬೀಳುತ್ತೆ	ಬುಗುರಿ
ml_27	ಒಂದು ಹಪ್ಪಳ ಊರಿಗೆಲ್ಲ ಊಟ	ಚಂದ್ರ
ml_28	ಶತ್ತಗಿಂಡಿ, ಶಾರಾಗಿಂಡಿ, ನೀರಾಗಿ ಹಕ್ಕಿದರೆ ಮುಳುಗದು ಮುತ್ತಿನ ಗಿಂಡಿ.	ಬೆಣ್ಣೆ ಉಂಡೆ.
ml_29	ಹಸಿರು ಕೋಲಿಗೆ ಮುತ್ತಿನ ತುರಾಯಿ	ಜೋಳದ ತೆನೆ
ml_30	ನೀಲಿ ಕೆರೆಯಲಿ ಬಿಳಿ ಮೀನು	ನಕ್ಷತ್ರ
ml_31	ಬಂಗಾರದ ಗುಬ್ಬಿ ಬಾಲದಲ್ಲೇ ನೀರನ್ನು ಕುಡಿಯುತ್ತೆ	ಚಿಮಿಣಿ
ml_32	ಮರನು ಮರನೇರಿ ಮತ್ತೆ ಮರನೇರಿ ಬಸವನಾ ಕತ್ತೇರಿ ತಿರುಗುತ್ತಿದೆ	ಗಾಣ
ml_33	ಹಸಿರು ಹಾವರಾಣಿ, ತುಂಬಿದ ತತ್ರಾಣಿ, ಹೇಳದಿದ್ದರೆ ನಿಮ್ಮ ದೇವರಾಣಿ	ಕಲ್ಲಂಗಡಿ ಹಣ್ಣು
ml_34	೨೧. ಮೋಟು ಗೋಡೆ ಮೇಲೆ, ದೀಪ ಉರೀತಿದೆ.	ಮೂಗುಬೊಟ್ಟು
ml_35	ಕರಿ ಗುಡ್ಡ-ಬಿಳಿ ನೀರು ಅದ್ರಾಗೆ ಕುಂತವಳೇ ಚಂಪರಾಣಿ.	ಗಡಿಗೆಮಜ್ಜಿಗೆ.
ml_36	ಇದ್ದಲು ನುಂಗುತ್ತ, ಗದ್ದಲ ಮಾಡುತ್ತಾ, ಉದ್ದಕ್ಕೂ ಓಡುತ್ತಾ ಮುಂದಕ್ಕೆ ಸಾಗುವ ನಾನ್ಯಾರು?	ರೈಲು
ml_37	೪೬. ಕೆಂಪು ಕುದುರೆ ಮೇಲೆ ಒಬ್ಬ ಏರುತ್ತಾನೆ, ಒಬ್ಬ ಇಳಿಯುತ್ತಾನೆ.	ರೊಟ್ಟಿ, ದೋಸೆ
ml_38	ಕಾಸಿನ ಕುದುರೆಗೆ ಬಾಲದ ಲಗಾಮು	ಸೂಜಿ ದಾರ
ml_39	ವನದಲ್ಲಿ ಹುಟ್ಟಿ,ವನದಲ್ಲಿ ಬೆಳೆದು,ವನದಿಂದ ಹೊರಟು ವನಜಲೊನೆ ಶಿರಕ್ಕೆರುವರು.	ಕಮಲ.
ml_40	ಅಂಗಳದಲ್ಲಿ ಹುಟ್ಟುವುದು, ಅಂಗಳದಲ್ಲಿ ಬೆಳೆಯುವುದು, ತನ್ನ ಮಕ್ಕಳ ಹಂಗಿಸಿ ಮಾತಾಡುವುದು ಇದು ಏನು?	ಕೋಳಿ
ml_41	ಅಕ್ಕ ಪಕ್ಕ ಚದುರಂಗ,ಅದರ ಹೂವು ಪದುರಂಗ ಅದರ ಹೆಸರು ಅಯ್ಯಯ್ಯಪ್ಪ ಇದು ಏನು?	ದತ್ತುರಿಯ ಮುಳ್ಳು.
ml_42	ಕತ್ತಲೆ ಮನೆಯಲಿ ಕಾಳವ್ವ ಕುಂತವೈ ಕುಯ್ಯೋ, ಮರ್ರೋ ಅಂತವಳೇ	ತಂಬೂರಿ
ml_43	ಅಂಗೈ ಕೊಟ್ಟರೆ ಮುಂಗೈನೂ ನುಂಗುತ್ತದೆ	ಬಳೆ
ml_44	ಒಂದು ಮರ, ಮರದಾಗ ಅಲ್ಲ, ಅಲ್ಲಿನಾಗ ಕೊಬ್ರಿ ಗುಂಡ	ಆಕಾಶ ನಕ್ಷತ್ರ ಚಂದ್ರ
