ml_riddle	originalriddle	originalriddleanswer
ml_1	কাঁচাতে যেই ফল সর্বজনে খায়, পাঁকলে সেই ফল গড়াগড়ি যায়	ডুমুর
ml_2	জল ছাড়া নদী, পাথর ছাড়া পাহাড় এবং মানুষ ছাড়া শহর কোথায় পাওয়া যায়?	একটি ম্যাপে
ml_3	যদি থাকে বুদ্ধি বলো দেখি কোন সুখে সুখ নেই?	অসুখ
ml_4	কালিদাস পন্ডিতের ফাঁকি, আড়াইশো থেকে পাঁচ পঞ্চাশ গেলে আর কত থাকে বাকী?	শূন্য
ml_5	বাঘের মত লাফ দেয়, কুকুর হয়ে বসে, পানির মধ্যে ছেড়ে দিলে, ছোলা হয়ে ভাসে।	ব্যাঙ
ml_6	শহর থেকে এল সাহেব কোর্ট প্যান্ট পরে, কোর্ট প্যান্ট খোলার পরে চোখ জ্বালা করে।	পেঁয়াজ
ml_7	৩ অক্ষরের নাম তার পেট ভরে পানি খায় মাঝের অক্ষর বাদ দিলে আলোয় ভরে যায়,	বালতি
ml_8	কান নাই মাথা নাই, পেট ভরে খায়, কাম নাই কাজ নাই, মাথা নিয়ে ঘুমায়।	বালিশ।
ml_9	আমি কাদাঁই, আমি হাসাই, নই আমি প্রাণি, আমায় দেখে সবাই ক্ষনিক ভোলে ব্যাথার বানী।	সিনেমা বা নাটক।
ml_10	আন্ধার ঘরে থাকি আমি নড়াচড়া করি, একটুখানি খাবার পেলে খাবলে তাকে ধরি।	জিহ্বা।
ml_11	হাঁড়ির ভিতর, বালির ভিতর হাজার ছেলে নাচে, একটু পরই হয় সে খাবার তপ্ত চুলার আঁচে।	মুড়ি।
ml_12	এতো বড় আঙিনা ঝাড় দিয়েও কুলোয় না। কতো ফুল ফুটে আছে নাই তার তুলনা!	আকাশ ও তারা।
ml_13	চার পায়ে বসি মোরা, আট পায়ে চলি। বাঘও নই ভাল্লুকও নই আস্ত কাঁধে ঝুলি।	পালকি।
ml_14	তিন অক্ষরে নাম তার সর্ব অঙ্গে কালো, মাঝের অক্ষর বাদ দিলে খেতে লাগে ভাল	কয়লা
ml_15	আশ্চর্য এক কথা শুনলে হাসি পায় নিজে দেখতে পায় না কিন্তু অপরকে দেখায়।	আয়না
ml_16	তিন অক্ষরের নাম তার সবাই খায়, প্রথম অক্ষর ছেড়ে দিলে মেয়েদের হাতে যায়।	খিচুড়ি
ml_17	চোখ আছে, কান নাই, হাত আছে, প্রাণ নাই।	চশমা
ml_18	এক বাড়িতে চার ভাই, তাদের গায়ে একই সাজ, কারো মুখে কেশ নাই, দিন শেষে বাড়ায় রাজ।	পদ্মফুল
ml_19	এক পায়ে দাঁড়িয়ে আছে, হাত দিয়ে ঠেলে দিলে, দৌড়ে পালিয়ে যায়।	লাটিম
ml_20	সাদা দুটি পুকুরে কালো হিরে চকচক করে।	চোখ
ml_21	দিনের বেলায় ঘুমিয়ে থাকে রাতের বেলায় জাগে ঘর-বাড়ি নেই আকাশেতে থাকে	চাঁদ
ml_22	চাঁদ নয় সূর্য নয় আলো দেয় রাতে গাছে গাছে উড়ে বেড়ায় টিমটিম আলোতে।	জোনাকি
ml_23	গলা আছে মাথা নেই হাত আছে পা নেই এটি কি বলবে আমায়?	শার্ট
ml_24	বাঘ নয় তবে মানুষ খায় পাখি নয় তবে উড়ে যায় বোলতা নয় তবে শুং আছে জন্তু নয় তবে পা আছে।	মশা
ml_25	মাথার উপর রাখে আমায় রোদ-বর্ষার দিনে বাকি সময় পড়ে থাকি শুধু ঘরের কোনে৷	ছাতি
ml_26	দাদু বুড়ো, ঠাকুমা বুড়ি আমাতে বুড়ো কী? পাঁচ আঙুলে রয়েছে সেটি বলবে সেটি কী?	বুড়ো আঙুল
ml_27	উপরে থেকে পড়ল হাঁড়ি হাঁড়ির ভেতরে একশো কড়ি।	কাঁঠাল
ml_28	ঘরের ভেতরে ঘর সেখানে গিয়ে শুয়ে পড়।	মশারী
ml_29	এক থালা সুপারি গুণতে না পারি।	আকাশ
ml_30	জটা ভরা মাথায় হাজার চোখে তাকায়।	আনারস
ml_31	থাকি গভীর জলে মাঝের বর্ণ ছেড়ে দিলে আকাশে যাই উড়ে।	চিতল
ml_32	প্রজাপতি, প্রজাপতি বলছি শোন কী তিনটি মাথা, দশটি ঠ্যাং দেখেছ তুমি কি?	কৃষক ও হালের দুটি গোরু
ml_33	লেবু টক, জলপাই টক আর টক কী পাতার আড়ালে ঝুলে থাকি আমায় চেন কি?	তেঁতুল
ml_34	লম্বা কেশর ফুলিয়ে তোলা গম্ভীর মেজাজ; রাজার মতো চেহারা তাই নামটি পশুরাজ	সিংহ
ml_35	আয় আয় তু তু খেতে দেব দু দু! ল্যজটি তুলে নাচবি সুখে, হাসবে সোনার খুকু!	বিড়াল
ml_36	গাছে হয় ঘরে আনি রান্না হয় খাওয়ার সময় ফেলা হয় ।	তেজপাতা
ml_37	পাখা আছে মোর না পারি উড়তে, আঁখি আছে মোর না পারি মুদতে। পা নাই মোর তবুও ঘুরি। জীবন কাটাই জলে চরি। যদি তুমি আমায় চিনতে পারো তবে মোর নামটি মনে করো।	মাছ
ml_38	তিন বর্ণের নামটি আমার আরাম করে শুই প্রথম বর্ণ কেটে দিলে দুধের থেকে হই মাঝের বর্ণ কেটে দিলে ছাড়া পেয়ে যাই শেষের বর্ণ কেটে দিলে ভীষণ ভয় পাই।	বিছানা
ml_39	দুই বর্ণের শব্দ আমি জলের মাঝে রই দ্বিতীয় বর্ণ কাটলে পরে আপন আমি হই।	মাছ
ml_40	ফরসা সাহেবেরা কালো টুপি পরে, একবার ঘসে দিলে উঠে যে জ্বলে	দেশলাই
ml_41	বড়ো একটি পুকুরের ছোটো দুটি ঘাট, বত্রিশটি কলাগাছ, একটি পাতা তাতে ৷	মুখ
ml_42	ওপার থেকে এলো বুড়ি সাদা কাপড় পরে মহানন্দে বসল খেতে ঘাড় নেড়ে নেড়ে	বক
ml_43	কোন দেশ বাজে কোন দেশ বলো দেখি তেল ঘিতে ভাজে	কাশী, পুরী
ml_44	জলের জন্তু নয় তবুও জলেই  বাস করে হাত নেই পা নেই তবু সাঁতার কাটে	নৌকা
ml_45	তিন অক্ষরে নাম যার সবার ঘরে রয় প্রথম অক্ষর বাদ দিলে সর্ব লোকে খায়। পেট তার কেটে দিলে মধুর গান গায় শেষ অক্ষর বাদ দিলে খুব কামরায়	বিছানা
ml_46	দু’অক্ষরে নাম তার বহু লোকে খায় শেষের অক্ষর বাদ দিলে হেঁটে চলে যায়	পান
ml_47	দু’অক্ষরে নাম লজ্জা নিবারণী প্রথম অক্ষর বাদ দিলে হয় আমার জননী শেষের অক্ষর বাদ দিলে ভাশুর ঘরণী	জামা
ml_48	প্রাণ নেই বন্ধু নয়, চলে সাথে সাথে আলো পেলে তবে চলে দিনে কিংবা রাতে	ছায়া
ml_49	তিন অক্ষরে নাম তার প্রতি ঘরে পাবে অধ্যক্ষর বাদ দিলে বৎসর বুঝাবে মধ্য অক্ষর গেলে সবার ক্ষতি করে শেষের অক্ষর গেলে সবাই অবস্থান করে	বাসন
ml_50	দুই অক্ষরের নাম যার সব যায়গায় রায় প্রথম অক্ষর বাদ দিলে খাবার জিনিস হয়, শেষের অক্ষর বাদ দিলে আপনজন হয়	মাটি
ml_51	একলা তারে যায় না দেখা, সঙ্গী গেলে বাঁচে। আধার দেখে ভয়ে পালায়, আলোয় ফিরে আসে।	ছায়া।
ml_52	একটুখানি পুস্কনি, পানি টলমল করে। রাজার ছেলের সাধ্য নেই, জাল ফেলতে পারে।	চোখ।
ml_53	একটি গাছের বাঁট নাই, তবু দুগ্ধ হয় প্রচুর। দোহনকালে থাকে নাকো, তার নিকটে বাছুর।	তালগাছ।
ml_54	একটি হলে কাজ হবে না, দুটি কিন্তু চাই। দুটি পেলে, হবে চাষী ভাই।	বলদ।
ml_55	এপার ঝাটি, ওপার ঝাটি। ঝাটিতে করে, পিটা পিটি।	চোখের পাতা।
ml_56	"""তিন অক্ষরে নাম যার, যাতে তৈরি তাতেই ভেসে, শেষের অক্ষর বাদ দিলে সোজা বিয়ের পিঁড়িতে বসে"" বল কি সেই মাল??"	বরফ
ml_57	তিন অক্ষরে নাম তার পানিতে বাস করে, প্রথম অক্ষর বাদ দিলে স্বাদে মিষ্টি করে। বল কি তার নাম?	মাগুর
ml_58	বল কি সেই জালের নাম, যার না আছে কোনো সুতা, ফিতা, তার ; কিন্তু নিমিষেই তোমায় দেবে শেরা সম্পদের সন্ধান।	আন্তজাল
ml_59	এমন একটি জিনিস যেটা সব লোকই খায় ছোট ছেলেরা খেলেপরে মায়ের কাছে যায় বৃদ্ধ লোকে খেলেপরে মাথায় দেয় হাত যুবক যুবতীরা খেলে এদিক ওদিক তাকায়	আছার
ml_60	তিন অক্ষরে জিনিসটা কি নাম তার বলনা মাথা কাটলে চলে আর মাথা না কাটলে চলে না।	পেন্সিল
ml_61	মেঘের ডাকে জল ছেড়ে ডাঙায় উঠে পড়ে মানুষ তার মাঠে পেলে নিয়ে যায় ঘরে।	কইমাছ
ml_62	হাত আছে পা নেয় মাথা তার কাটা আস্ত মানুষ গিলে খায় বুক তার ফাটা।	জামা
ml_63	তিন অক্ষরে নাম তার সব লোকে খায় প্রথম অক্ষর বদ দিলে ঘর ছাওয়া যায়।	কুমড়ো
ml_64	একই প্রশ্ন কিন্তু সবাই আলাদা আলাদা উত্তর দেয় অথচ সবার উত্তরই ঠিক প্রশ্নটি কি ?	তোমার নাম কি
ml_65	আমি অন্ধকার কিন্তু আলো ছাড়া আমার অস্তিত্ব নেই আমি কে ?	ছায়া
ml_66	কোথায় নদী আছে কিন্তুু জল নেই পাহাড় আছে কিন্তু পাথর নেই দেশ আছে কিন্তু লোক নেই ?	ম্যাপ বা মানচিত্র
ml_67	সমুদ্রে জন্য আমার থাকি সবার ঘরে একটু জলের স্পশ্র পেলে যায় আমি মরে	নুন বা লবণ
ml_68	কত,র মধ্যে কত বাদ দিলে কত থাকবে ?	র
ml_69	বন থেকে বেরোলো টিয়ে, সোনার টোপর মাথায় দিয়া	আনারস
ml_70	এই ঘরে যাই, ওই ঘরে যাই, দুমদুমি এ আছাড় খাই	ঝাড়ু
ml_71	লাল টুকটুক ছোটমামা, গায়ে পড়ে অনেক জামা	পেঁয়াজ
ml_72	তিন অক্ষরে নাম চোরের বুক কাঁপে, শেষ দুটি ছেড়ে দিলে কাটে এক কোপে। কিন্তু যদি প্রথম ছাড়ো দেখে লাগে দুঃখ, মাংস কম, শীর্ণকায়, চেহারাটি সূক্ষ্ম	দারোগা
ml_73	হেতা দিলাম থান হয়ে গেল লতা, ফুল নাই ফল নাই সবই তার পাতা	পান
ml_74	গা করে তার খসর-মসর, পাত করে তার ফেনী; ফুল করে তার লাল-তামাসা, ফল করে কুস্তনি	শিমূল
ml_75	সাগরে জন্ম তার আকাশে উড়ে, পর্বতের কাছে মার খেয়ে কেঁদে কেঁদে মড়ে	কুয়াশা
ml_76	তলে মাটি উপরে মাটি, তার মধ্যে সুন্দর বেটি	হলুদ
ml_77	জল নয়, বৃষ্টিও নয় কিন্তু ভিজে সারা, বাড়িঘর ডুবল, ডুবল পাহাড়েরও চূড়া	কুয়াশা
ml_78	হাত আছে পা নেই বুক তার ফাটা, জ্যান্ত মানুষ গিলে খায় নেই তার মাথা	জামা
ml_79	জলের মাঝে জন্ম হলো দুই অক্ষরের প্রাণী, শেষের অক্ষর বাদ দিলে হয় মহারাণী	মাছ
ml_80	তিন অক্ষরের নাম তার সবার ঘরে রয়, প্রথম অক্ষর বাদ দিলে খাদ্যবস্তু হয়। মাঝের অক্ষর বাদ দিলে হয় গানের শোভা, শেষের অক্ষর বাদ দিলে ভয় তুমি পাবা	বিছানা
ml_81	জনম গেল দুখে, বুকে আমার আগুন দিয়ে থাকো অনেক সুখে	হুঁকো
ml_82	কাল আমাকে মেরে ছিলে সয়ে ছিলাম আমি, আজ আমায় মারো দেখি কেমন বেটা তুমি	মাটির হাড়ি
ml_83	কুল কুল কুলেরি, ভাদ্র মাসে ধুলোরি, কাঁচায়-পাকায় সবাই খায়, নেংটো হয়ে হাটে যায়	তেঁতুল
ml_84	রাজার বেটা রাম দাস, খায় খোলা তার ফেলায় শাঁস	চালতা
ml_85	ইকরের তলে তলে ভিকমতির ছানি, কোন দেশে দেখিয়াছ গাছের আগায় পানি?	নারিকেল
ml_86	এক থালা সুপারী গুণতে পারে কোন ব্যাপারী?	আকাশের তারা
ml_87	সফেদ শয্যা পড়ে আছে কেউ তাতে না শোয়, ভিতর থেকে খোলাম কুচি আঙিনাতে থোয়	সমুদ্র
ml_88	সকালে চার পায়ে হাঁটে, দুপুরে দুই পায়ে। সন্ধায় তিন পায়ে হাঁটে বলো তো কে যায়?	মানুষ
ml_89	ইটে গুরুগুরু বৈঠা নাগর, বিনা বৈঠায় বায় সে সাগর	কচ্ছপ
ml_90	জ্বলছে তবু পুড়ছে না, কোন সে প্রাণী বলো তা	জোনাকী
ml_91	একটুখানি পুষ্পরিণী টলমল করে, একটুখানি কুটা পাড়লে সর্বনাশ করে	চোখ
ml_92	আাঁধার পুকুর, গড়ান মাঠ, বত্রিশ কলাগাছ, একখানি পাট	দাঁত ও জিহ্বা
ml_93	ছোট ছোট গাছখানি তার কত ফল ধরে, একটা যদি খায় তবে আহা-উহু করে	বোম্বাই মরিচ
ml_94	ছোট কালে লেজ হয়, বড় কালে খসে, বাঘের মত লাফ দেয়, কুকেুরের মত বসে	ব্যাঙ
ml_95	একটুখানি জলে মাছ কিলবিল করে, কারো বাবার সাধ্য নাই হাত দিয়ে তা ধরে	ফুটন্ত ভাত
ml_96	মেটো গোয়াল, কাঠের গাই বাঁছুর ছাড়াই দুধ পাই	খেঁজুর গাছ
